user_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,video,completion
34420,8,4,23,19,219,31.206,36.808,0.5707070707070707,1.8812785388127855,TRUE,1
35241,16,11,25,24,299,24.873,37.517,0.4982078853046595,1.725752508361204,TRUE,0
109255,14,10,25,23,216,48.3005,56.374,0.601010101010101,1.5,FALSE,1
109310,8,8,19,19,138,37.5555,48.0435,0.7692307692307693,1.355072463768116,TRUE,1
109320,8,8,19,18,146,39.148,48.658,0.7608695652173914,1.2397260273972603,FALSE,1
109541,15,8,23,18,184,28.4565,34.16,0.48554913294797686,1.358695652173913,TRUE,1
112269,5,5,20,19,130,23.6235,28.6115,0.7235772357723578,1.4230769230769231,FALSE,1
128939,17,17,6,6,179,28.93,46.248,0.6726190476190477,1.3743016759776536,TRUE,1
128973,12,12,6,6,111,20.513,23.64,0.7029702970297029,1.3783783783783785,FALSE,1
129130,12,12,6,6,94,26.1315,31.156,0.8214285714285714,1.2127659574468086,FALSE,1
129586,12,12,3,3,85,41.337,52.377,0.7125,1.352941176470588,TRUE,1
129914,11,11,4,3,75,39.969,41.584,0.7647058823529411,1.28,FALSE,1
130029,10,7,3,1,59,56.67,135.13,0.5862068965517241,1.6271186440677965,FALSE,1
130109,12,12,6,6,90,22.679,24.143,0.8,1.1888888888888889,FALSE,1
130130,12,8,3,3,78,21.4745,29.199,0.6027397260273972,1.5,FALSE,1
130651,8,6,4,3,59,60.721,68.084,0.7547169811320755,1.2542372881355932,FALSE,0
131051,10,10,6,6,91,36.899,42.815,0.7160493827160493,1.2527472527472527,TRUE,1
131768,7,7,6,6,116,40.621,46.931,0.5566037735849056,1.387931034482759,TRUE,1
132001,12,12,4,4,104,22.5965,27.1045,0.7448979591836735,1.2115384615384617,FALSE,1
132147,12,8,5,3,62,24.8735,31.5695,0.7321428571428571,1.2580645161290325,FALSE,0
132457,12,11,6,6,127,27.069,33.578,0.6239316239316239,1.5433070866141732,FALSE,0
132478,12,12,6,6,105,26.368,29.084,0.7684210526315789,1.238095238095238,FALSE,1
134990,12,12,6,6,89,36.68,36.683,0.9620253164556962,1.0337078651685394,FALSE,1
137531,12,12,3,3,122,30.9805,39.339,0.5517241379310345,1.286885245901639,TRUE,1
145107,10,10,5,5,82,44.7165,51.0895,0.7638888888888888,1.2317073170731707,FALSE,1
147300,13,13,5,5,136,22.918,28.0625,0.6846153846153846,1.8088235294117647,TRUE,1
147768,7,5,19,19,156,45.1815,57.906,0.6993006993006993,1.4294871794871795,FALSE,1
152186,5,3,2,1,23,10.432,14.828,0.7391304347826086,1.3043478260869563,TRUE,1
157441,12,12,5,5,91,38.584,38.586,0.8518518518518519,1.2417582417582418,FALSE,1
163130,25,22,154,152,743,53.922,63.871,0.6963636363636364,1.3257065948855988,TRUE,0
163397,12,12,4,4,89,27.575,30.88,0.7349397590361446,1.2696629213483146,FALSE,1
165202,2,0,20,17,146,57.9445,66.6265,0.2564102564102564,1.547945205479452,FALSE,0
165442,1,1,31,29,162,121.0875,133.844,0.5619047619047619,1.530864197530864,FALSE,0
165513,0,0,22,5,39,102.724,102.735,0.3928571428571429,2.4871794871794872,FALSE,0
166027,9,6,5,4,92,14.6695,20.4665,0.4186046511627907,1.4565217391304348,TRUE,0
166291,1,1,30,23,131,94.796,132.648,0.6375,1.3358778625954195,TRUE,1
166311,3,3,38,33,230,55.9055,67.002,0.7076023391812866,1.565217391304348,TRUE,1
166623,3,2,61,52,367,123.607,130.815,0.8849206349206349,1.119891008174387,TRUE,1
166820,1,0,25,18,86,93.7545,93.787,0.2982456140350877,1.4186046511627908,TRUE,0
166996,3,3,48,48,381,51.065,51.585,0.925925925925926,1.073490813648294,TRUE,1
167045,3,3,47,47,380,43.7925,47.919,0.8215613382899628,1.2236842105263157,TRUE,1
167130,2,2,31,31,162,17.927,21.41,0.2871287128712871,1.5185185185185186,TRUE,1
167940,2,2,48,48,387,28.992,31.251,0.850909090909091,1.131782945736434,FALSE,1
168019,0,0,28,23,131,93.623,100.329,0.776595744680851,1.1526717557251909,TRUE,0
168027,2,1,45,44,364,20.032,21.0495,0.841897233201581,1.0961538461538465,FALSE,0
168134,3,3,47,47,373,22.761,29.549,0.8127340823970037,1.2198391420911527,TRUE,1
168227,2,0,18,12,69,28.919,71.41,0.3392857142857143,1.8405797101449275,FALSE,0
168299,0,0,25,20,80,62.7855,72.332,0.3793103448275862,1.4375,TRUE,0
